date,year,state,region,lat,lng,rainfall,onset,onset_date,break_spell,break_duration,heavy_rain,heavy_rain_class
2023-08-24,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,11.845139503479004,0,2023-06-30,0,0,0,None/Moderate
2023-08-25,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,14.362829208374023,0,2023-06-30,0,0,0,None/Moderate
2023-08-26,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,4.685671806335449,0,2023-06-30,0,0,0,None/Moderate
2023-08-27,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.0,0,2023-06-30,1,1,0,None/Moderate
2023-08-28,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.0,0,2023-06-30,1,2,0,None/Moderate
2023-08-29,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.0,0,2023-06-30,1,3,0,None/Moderate
2023-08-30,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.0,0,2023-06-30,1,4,0,None/Moderate
2023-08-31,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.0,0,2023-06-30,1,5,0,None/Moderate
2023-09-01,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.0,0,2023-06-30,1,6,0,None/Moderate
2023-09-02,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.0,0,2023-06-30,1,7,0,None/Moderate
2023-09-03,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.0,0,2023-06-30,1,8,0,None/Moderate
2023-09-04,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,4.662360191345215,0,2023-06-30,0,0,0,None/Moderate
2023-09-05,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.0,0,2023-06-30,0,1,0,None/Moderate
2023-09-06,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.1721363365650177,0,2023-06-30,0,2,0,None/Moderate
2023-09-07,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,2.7106807231903076,0,2023-06-30,0,0,0,None/Moderate
2023-09-08,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,21.32781219482422,0,2023-06-30,0,0,0,None/Moderate
2023-09-09,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,8.41057014465332,0,2023-06-30,0,0,0,None/Moderate
2023-09-10,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,12.271766662597656,0,2023-06-30,0,0,0,None/Moderate
2023-09-11,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,46.14956283569336,0,2023-06-30,0,0,0,None/Moderate
2023-09-12,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,12.730963706970215,0,2023-06-30,0,0,0,None/Moderate
2023-09-13,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.0,0,2023-06-30,1,1,0,None/Moderate
2023-09-14,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.0,0,2023-06-30,1,2,0,None/Moderate
2023-09-15,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.0,0,2023-06-30,1,3,0,None/Moderate
2023-09-16,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.0,0,2023-06-30,1,4,0,None/Moderate
2023-09-17,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.6885453462600708,0,2023-06-30,1,5,0,None/Moderate
2023-09-18,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,2.937286615371704,0,2023-06-30,0,0,0,None/Moderate
2023-09-19,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.0,0,2023-06-30,0,1,0,None/Moderate
2023-09-20,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,5.656879901885986,0,2023-06-30,0,0,0,None/Moderate
2023-09-21,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.9324719905853271,0,2023-06-30,1,1,0,None/Moderate
2023-09-22,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.4895476996898651,0,2023-06-30,1,2,0,None/Moderate
2023-09-23,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.0,0,2023-06-30,1,3,0,None/Moderate
2023-09-24,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.0,0,2023-06-30,1,4,0,None/Moderate
2023-09-25,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.0,0,2023-06-30,1,5,0,None/Moderate
2023-09-26,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.0,0,2023-06-30,1,6,0,None/Moderate
2023-09-27,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.0,0,2023-06-30,1,7,0,None/Moderate
2023-09-28,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.0,0,2023-06-30,1,8,0,None/Moderate
2023-09-29,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.0,0,2023-06-30,1,9,0,None/Moderate
2023-09-30,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.0,0,2023-06-30,1,10,0,None/Moderate
2023-10-01,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.4662359952926636,0,2023-06-30,0,0,0,None/Moderate
2023-10-02,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,0.0,0,2023-06-30,0,0,0,None/Moderate
2023-10-03,2023,Uttar Pradesh,Uttar Pradesh_Station,26.8467,80.9462,1.0701810121536255,0,2023-06-30,0,0,0,None/Moderate
