subdivision,year,month,monthly_rainfall_mm,monthly_normal_mm,anomaly_mm,pct_of_normal
KONKAN & GOA,1950,MAR,0.2,1.374782608695652,-1.174782608695652,14.547754585705253
KONKAN & GOA,1951,MAR,2.5,1.374782608695652,1.125217391304348,181.84693232131565
KONKAN & GOA,1952,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1953,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1954,MAR,3.5,1.374782608695652,2.125217391304348,254.58570524984188
KONKAN & GOA,1955,MAR,2.2,1.374782608695652,0.8252173913043481,160.02530044275778
KONKAN & GOA,1956,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1957,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1958,MAR,0.2,1.374782608695652,-1.174782608695652,14.547754585705253
KONKAN & GOA,1959,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1960,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1961,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1962,MAR,0.1,1.374782608695652,-1.274782608695652,7.273877292852626
KONKAN & GOA,1963,MAR,0.1,1.374782608695652,-1.274782608695652,7.273877292852626
KONKAN & GOA,1964,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1965,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1966,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1967,MAR,7.7,1.374782608695652,6.325217391304348,560.0885515496522
KONKAN & GOA,1968,MAR,0.1,1.374782608695652,-1.274782608695652,7.273877292852626
KONKAN & GOA,1969,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1970,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1971,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1972,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1973,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1974,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1975,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1976,MAR,1.6,1.374782608695652,0.22521739130434804,116.38203668564202
KONKAN & GOA,1977,MAR,0.8,1.374782608695652,-0.574782608695652,58.19101834282101
KONKAN & GOA,1978,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1979,MAR,0.1,1.374782608695652,-1.274782608695652,7.273877292852626
KONKAN & GOA,1980,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1981,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1982,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1983,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1984,MAR,0.1,1.374782608695652,-1.274782608695652,7.273877292852626
KONKAN & GOA,1985,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1986,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1987,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1988,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
KONKAN & GOA,1989,MAR,0.6,1.374782608695652,-0.7747826086956521,43.643263757115754
KONKAN & GOA,1990,MAR,0.1,1.374782608695652,-1.274782608695652,7.273877292852626
KONKAN & GOA,1991,MAR,0.0,1.374782608695652,-1.374782608695652,0.0
